CustomerID,OrderID,CustomerContact,Country,OrderDate,ProductID,UnitPrice,Quantity,Discount
VINET,10248,Paul Henriot,France,3/26/2019,11,14,110,0
VINET,10248,Paul Henriot,France,3/26/2019,42,9.8,420,0
VINET,10248,Paul Henriot,France,3/26/2019,72,34.8,720,0
TOMSP,10249,Karin Josephs,Germany,3/27/2019,14,18.6,140,0
TOMSP,10249,Karin Josephs,Germany,3/27/2019,51,42.4,510,0
HANAR,10250,Mario Pontes,Brazil,3/30/2019,41,7.7,410,0
HANAR,10250,Mario Pontes,Brazil,3/30/2019,51,42.4,510,0.15
HANAR,10250,Mario Pontes,Brazil,3/30/2019,65,16.8,650,0.15
VICTE,10251,Mary Saveley,France,3/30/2019,22,16.8,220,0.05
VICTE,10251,Mary Saveley,France,3/30/2019,57,15.6,570,0.05
VICTE,10251,Mary Saveley,France,3/30/2019,65,16.8,650,0
SUPRD,10252,Pascale Cartrain,Belgium,3/31/2019,20,64.8,200,0.05
SUPRD,10252,Pascale Cartrain,Belgium,3/31/2019,33,2,330,0.05
SUPRD,10252,Pascale Cartrain,Belgium,3/31/2019,60,27.2,600,0
HANAR,10253,Mario Pontes,Brazil,4/1/2019,31,10,310,0
HANAR,10253,Mario Pontes,Brazil,4/1/2019,39,14.4,390,0
HANAR,10253,Mario Pontes,Brazil,4/1/2019,49,16,490,0
CHOPS,10254,Yang Wang,Switzerland,4/2/2019,24,3.6,240,0.15
CHOPS,10254,Yang Wang,Switzerland,4/2/2019,55,19.2,550,0.15
CHOPS,10254,Yang Wang,Switzerland,4/2/2019,74,8,740,0
RICSU,10255,Michael Holz,Switzerland,4/3/2019,2,15.2,20,0
RICSU,10255,Michael Holz,Switzerland,4/3/2019,16,13.9,160,0
RICSU,10255,Michael Holz,Switzerland,4/3/2019,36,15.2,360,0
RICSU,10255,Michael Holz,Switzerland,4/3/2019,59,44,590,0
WELLI,10256,Paula Parente,Brazil,4/6/2019,53,26.2,530,0
WELLI,10256,Paula Parente,Brazil,4/6/2019,77,10.4,770,0
HILAA,10257,Carlos Hernandez,Venezuela,4/7/2019,27,35.1,270,0
HILAA,10257,Carlos Hernandez,Venezuela,4/7/2019,39,14.4,390,0
HILAA,10257,Carlos Hernandez,Venezuela,4/7/2019,77,10.4,770,0
ERNSH,10258,Roland Mendel,Austria,4/8/2019,2,15.2,20,0.2
ERNSH,10258,Roland Mendel,Austria,4/8/2019,5,17,50,0.2
ERNSH,10258,Roland Mendel,Austria,4/8/2019,32,25.6,320,0.2
CENTC,10259,Francisco Chang,Mexico,4/9/2019,21,8,210,0
CENTC,10259,Francisco Chang,Mexico,4/9/2019,37,20.8,370,0
OTTIK,10260,Henriette Pfalzheim,Germany,4/10/2019,41,7.7,410,0.25
OTTIK,10260,Henriette Pfalzheim,Germany,4/10/2019,57,15.6,570,0
OTTIK,10260,Henriette Pfalzheim,Germany,4/10/2019,62,39.4,620,0.25
OTTIK,10260,Henriette Pfalzheim,Germany,4/10/2019,70,12,700,0.25
QUEDE,10261,Bernardo Batista,Brazil,4/10/2019,21,8,210,0
QUEDE,10261,Bernardo Batista,Brazil,4/10/2019,35,14.4,350,0
RATTC,10262,Paula Wilson,USA,4/13/2019,5,17,50,0.2
RATTC,10262,Paula Wilson,USA,4/13/2019,7,24,70,0
RATTC,10262,Paula Wilson,USA,4/13/2019,56,30.4,560,0
ERNSH,10263,Roland Mendel,Austria,4/14/2019,16,13.9,160,0.25
ERNSH,10263,Roland Mendel,Austria,4/14/2019,24,3.6,240,0
ERNSH,10263,Roland Mendel,Austria,4/14/2019,30,20.7,300,0.25
ERNSH,10263,Roland Mendel,Austria,4/14/2019,74,8,740,0.25
FOLKO,10264,Maria Larsson,Sweden,4/15/2019,2,15.2,20,0
FOLKO,10264,Maria Larsson,Sweden,4/15/2019,41,7.7,410,0.15
BLONP,10265,Frederique Citeaux,France,4/16/2019,17,31.2,170,0
BLONP,10265,Frederique Citeaux,France,4/16/2019,70,12,700,0
WARTH,10266,Pirkko Koskitalo,Finland,4/17/2019,12,30.4,120,0.05
FRANK,10267,Peter Franken,Germany,4/20/2019,40,14.7,400,0
FRANK,10267,Peter Franken,Germany,4/20/2019,59,44,590,0.15
FRANK,10267,Peter Franken,Germany,4/20/2019,76,14.4,760,0.15
GROSR,10268,Manuel Pereira,Venezuela,4/21/2019,29,99,290,0
GROSR,10268,Manuel Pereira,Venezuela,4/21/2019,72,27.8,720,0
WHITC,10269,Karl Jablonski,USA,4/22/2019,33,2,330,0.05
WHITC,10269,Karl Jablonski,USA,4/22/2019,72,27.8,720,0.05
WARTH,10270,Pirkko Koskitalo,Finland,4/23/2019,36,15.2,360,0
